whole alpheids						Mooi, R.D and A.C. Gill. 2004. Notograptidae, sister to <i>Acanthoplesiops</i> Regan (Teleostei: Plesiopidae: Acanthoclininae) with comments on biogeography, diet and morphological convergence with Congrogadinae (Teleostei: Pseudochromidae). Zool. J. Linn. Soc. 141(2):179-205.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
winged ant						Hiatt, R.W. and D.W. Strasburg. 1960. Ecological relationships of the fish fauna on coral reefs of the Marshall Islands. Ecol. Monogr. 30(1):65-127.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
wolffish						Morrow, J.E. 1980. The freshwater fishes of Alaska. University of. B.C. Animal Resources Ecology Library. 248p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Abdel-Aziz, S.H. 1994. Observations on the biology of the common torpedo (<i>Torpedo torpedo</i>, Linnaeus, 1758) and marbled electric ray (<i>Torpedo marmorata</i>, risso, 1810) from the Egyptian Mediterranean waters. Aust. J. Mar. Freshwat. Res. 45(4):693-704.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Abdel'-Malek, S.A. 1980. The food and feeding interrelationships of fish in Lake Qârûn (Egypt). J. Ichthyol. 20(2):62-66.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Adeboyejo, O. A. 2011. Meristic, Morphometric Characteristics of Frill-fin goby (Bathygobius soporator valenciennes, 1837) from Lagos Lagoon, Nigeria. Nature and Science 9(3):16-23.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Adite, A., K.O. Winemiller and E.D. Fiogbe. 2005. Ontogenetic, seasonal, and spatial variation in the diet of <i>Heterotis niloticus</i> (Osteoglossiformes: Osteoglossidae) in the Sô River and Lake Hlan, Benin, West Africa. Environ. Biol. Fish. 73:367-378.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Alfred-Ockiya, J.F. 2000. Study of food habits of goby, <i>Porogobius schlegelii</i> (Günther, 1861) from Elechi Creek, off Bonny River, Niger Delta, Nigeria. J. Aquat. Sci. 16(2):79-82.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Alikunhi, K.H. 1966. Synopsis of biological data on common carp <i>Cyprinus carpio</i> (Linnaeus), 1758 (Asia and the Far East). FAO Fish. Synop. 31(2):39p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Allen, G.R. 1975. The anemone fishes. Their classification and biology. Second edition. T.F.H. Publications, Inc., Neptune City, New Jersey.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Allen, G.R. 1985. FAO Species Catalogue. Vol. 6. Snappers of the world. An annotated and illustrated catalogue of lutjanid species known to date. FAO Fish. Synop. 125(6):208 p. Rome: FAO.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Allen, G.R. 1989. Freshwater fishes of Australia. T.F.H. Publications, Inc., Neptune City, New Jersey.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Allen, G.R. 1991. Field guide to the freshwater fishes of New Guinea. Publication, no. 9. 268 p. Christensen Research Institute, Madang, Papua New Guinea.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Allen, G.R. 2004. Handy pocket guide to tropical coral reef fishes. Periplus Editions (HK) Ltd. 64 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Allen, G.R., R. Steene and M. Allen. 1998. A guide to angelfishes and butterflyfishes. Odyssey Publishing/Tropical Reef Research. 250 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Allen, G.R., S.H. Midgley and M. Allen. 2002. Field guide to the freshwater fishes of Australia. Western Australian Museum, Perth, Western Australia. 394 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Allibone, R.M. and C.R. Townsend. 1998. Comparative dietary analysis of a recently described fish species complex (Galaxiidae) in a New Zealand river. N.Z. J. Mar. Freshwat. Res. 32(3):351-361.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Almeida, A.J., A. Marques and L. Saldanha. 1999. Some aspects of the biology of three fish species from the seagrass beds at Inhaca Island, Mozambique. Cybium 23(4):369-376.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Almeida, V.L.L., E.K. Resende, M.S. Lima and C.J.A. Ferreira. 1993. Diet and feeding of <i>Prochilodus lineatus</i> Characiformes, Prochilodontidae in the lowlands of Miranda-Aquidauana, Mato Grosso do Sul State, Brazil. Rev. Unimar. 15 (suppl.):125-141.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Almeida, Z.A., J.L.S Nunes and M.G.F.S. Alves. 2005. Dieta alimentar de <i>Genyatremus luteus</i> (Bloch, 1790) - (Teleostei, Perciformes: Haemulidae) na baía de São José, Maranhão, Brasil. Atlântica, 27(1):39-47.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Alshuth, S. and E. Ebeling. 1989. A survey of the diet and diseases of <i>Gadus morhua</i> L. around Helgoland in the German bight. ICES, C.M. 1989/G:49, Demersal Fish Committee, Ref. MEQC, 10 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Amaral, A.C.Z. and A.E. Migotto. 1980. Importancia dos anelídos poliquetas na alimentação da macrofauna demersale epibentônica da Região de Ubatuba. Bolm. Inst. Oceanogr., S. Paulo 29(2):31-35.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Anderson, C. and A. Hafiz. 1987. Common reef fishes of the Maldives. Part 1. Novelty Press, Republic of Maldives. 83 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Anderson, M.E. and A.A. Balanov. 2000. <i>Lycenchelys fedorovi</i>: a new species of eelpout (Teleostei: Zoarcidae) from the northwestern Pacific Ocean. Copeia 2000(4):1056-1061.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Anderson, W.D. Jr. 2003. Lutjanidae. Snappers. p. 1479-1504. In K.E. Carpenter (ed.) FAO species identification guide for fishery purposes. The living marine resources of the Western Central Atlantic. Vol. 3: Bony fishes part 2 (Opistognathidae to Molidae), sea turtles and marine mammals.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Andreasson, S. 1971. Feeding habits of a sculpin (<i>Cottus gobio</i> L. Pisces) population. Inst. Freshwater Res., Drottningholm, Sweden, Rep. No. 51.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Andriashev, A.P. 1986. Agonidae. p. 1265-1268. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the North-eastern Atlantic and the Mediterranean. volume 3. UNESCO, Paris.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Andriashev, A.P. 1986. Zoarcidae. p. 1130-1150. In P.J.P. Whitehead, M.-L. Bauchot, J.-C. Hureau, J. Nielsen and E. Tortonese (eds.) Fishes of the North-eastern Atlantic and the Mediterranean. volume 3. UNESCO, Paris.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Anyanwu, A.O. and K.I. Kusemiju. 1990. Food of the croakers <i>Pseudotolithus senegalensis</i> (C. & V.) and <i>Pseudotolithus typus</i> (Bleeker) off the coast of Lagos, Nigeria. J. Fish Biol. 37(5):823-825.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Arculeo, M., C. Froglia and S. Riggio. 1989. Cossiderazioni sull’ alimentazione di alcune specie ittiche dei fondali infralitorali den Golfo di Palermo. Oebalia 15, 57-65.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Arculeo, M., C. Froglia and S. Riggio. 1993. Food partitioning between <i>Serranus scriba</i> and <i>Scorpaena porcus</i> (Perciformes) on the infralittoral ground of the south Tyrrhenian Sea. Cybium 17(3):251-258.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Armstrong, R.H. 1996. Alaska's fish. A guide to selected species. Alaska Northwest Books. 94 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Arntz, W.E. 1978. The food of adult cod (<i>Gadus morhua L.</i>) in the Western Baltic. Meeresforsch. 26:60-69.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Arntz, W.E. and I. Finger. 1981. Demersal fish in the western Baltic: their feeding relations, food coincidence and food selection. ICES C.M./ J:6, 28 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Arthington, A.H. 1989. Diet of <i>Gambusia affinis holbrooki</i>, <i>Xiphophorus helleri</i>, <i>X. maculatus</i>, and <i>Poecilia reticulata</i> (Pisces: Poeciliidae) in streams of southeastern Queensland, Australia. Asian Fish. Sci. 2:193-212.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Arunachalam, M., J.A. Johnson and A. Manimekalan. 2000. Cultivable and ornamental fishes in rivers of Wynard district, Kerala. p. 240-243. In A.G. Ponniah and A. Gopalakrishnan (eds.) Endemic fish diversity of Western Ghats. NBFGR-NATP Publication. National Bureau of Fish Genetic Resources, Lucknow, U.P., India. 1,347 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Assis, C.A., P.R. Almeida, F. Moreira, J.L. Costa and M.J. Costa. 1992. Diet of the twaite <i>Alosa fallax</i> (Lacépède) (Clupeidae) in the River Tagus Estuary, Portugal. J. Fish Biol. 41(6):1049-1050.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Atkinson, E.G. and J.A. Percy. 1992. Diet comparison among demersal marine fish from the Canadian Arctic. Polar Biol. 11:567-573.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Austin, H. and S. Austin. 1971. The feeding habits of some juvenile marine fishes from the mangroves in western Puerto Rico. Caribb. J. Sci. 11(3-4):171-178.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Avsar, D. 1994. Diel diet and feeding behavior of scaldfish (<i>Arnoglossus laterna</i> Walbaum, 1792) in the bay of Mersin. Acta Adriatica 34(1/2):89-101.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Azevedo, J.M.N. and N. Homem. 2002. Age and growth, reproduction and diet of the red blenny <i>Parablennius ruber</i> (Blenniidae). Cybium 26(2):129-133.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Badaev, O.Z. and A.A. Balanov. 2006. Some data on the biology of <i>Lycodes soldatovi</i> (Pisces: Zoarcidae) in the northeastern Sea of Okhotsk. Izv. TINRO 146:122-135.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Badalamenti, F., G. D’ Anna, G. Fazio, M. Gristina and R. Lipari. 1993. Relazioni trofiche tra quattro specie ittiche catturate su differenti substrati nel Golfo di Castellammare (Sicilia N/O). Biol. Mar. 1, 145-150.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Baensch, H.A. and H. Debelius. 1997. Meerwasser atlas. Mergus Verlag GmbH, Postfach 86, 49302, Melle, Germany. 1216 p. 3rd edition.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Barrientos, C.A. 2004. Geographical difference in the feeding patterns of red rockfish (<i>Sebastes capensis</i>) along South American coasts. Fishery Bulletin 104(4):489-497.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Bath, D.W. and J.M. O'Connor. 1985. Food preferences of white perch in the Hudson River Estuary. N.Y. Fish Game J. 32(1):63-70.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Bauchot, M.-L. 1987. Poissons osseux. p. 891-1421. In W. Fischer, M.L. Bauchot and M. Schneider (eds.) Fiches FAO d'identification pour les besoins de la pêche. (rev. 1). Méditerranée et mer Noire. Zone de pêche 37. Vol. II. Commission des Communautés Européennes and FAO, Rome.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Bauchot, M.-L. and J.-C. Hureau. 1990. Sparidae. p. 790-812. In J.C. Quero, J.C. Hureau, C. Karrer, A. Post and L. Saldanha (eds.) Check-list of the fishes of the eastern tropical Atlantic (CLOFETA). JNICT, Lisbon; SEI, Paris; and UNESCO, Paris. Vol. 2.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Bauchot, M.-L. and M.M. Smith. 1984. Sparidae. In W. Fischer and G. Bianchi (eds.) FAO species identification sheets for fishery purposes. Western Indian Ocean (Fishing Area 51). volume 4. [var. pag.] FAO, Rome.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Bauchot, M.-L., J.-C. Hureau and J.C. Miguel. 1981. Sparidae. In W. Fischer, G. Bianchi and W.B. Scott (eds.) FAO species identification sheets for fishery purposes. Eastern Central Atlantic. (Fishing Areas 34, 47 (in part)). volume 4. [var. pag.] FAO, Rome.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
worms						Beamish, F.W.H., D.L.G. Noakes and A. Rossiter. 1998. Feeding ecology of juvenile lake sturgeon, <i>Acipenser fulvescens</i>, in northern Ontario. Can. Field-Nat. 112(3):459-468.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
